stage,edition,grade,volume,revised_2022,resource_count,resource_ids
初中,科普版,9,上册,1,1,521b01ef-4e76-466e-b50e-a20508a9b893
初中,科普版,9,下册,0,1,1bf8014a-678a-46b5-a7c5-f0248b1bdab3
初中,译林版,7,上册,1,3,"64f242e1-9902-067f-a769-7ed0a761c430,c69fbfe9-1233-33a6-d354-45ec9a34d1c9,9f7701cb-d16d-4b3e-c46d-06c3042dec5c"
初中,译林版,7,下册,1,2,"d068ad85-ce64-49f6-8ecd-11ee1e409c32,e87a217b-7e40-4ac1-9531-e6e6fb6cddf3"
初中,译林版,8,上册,1,2,"4573420f-2680-44e2-8def-7e8c4fa71297,ec138881-112c-779f-2fdf-c744667107d3"
初中,译林版,8,下册,1,1,b33b5100-d1f9-427e-a9d6-03336612895a
初中,译林版,9,上册,1,1,01b3ebf7-5e9a-471e-a5fe-beb76deb5207
初中,译林版,9,下册,0,1,92286669-0bc5-423e-844c-06c4eddffd2e
初中（五•四学制）,教科外研社版,6,上册,1,2,"3854d824-3435-949e-23ca-aeabfd124a26,58bb2298-740a-d9b2-20b1-439bf7afc7c8"
初中（五•四学制）,教科外研社版,6,下册,1,1,befa8908-a56e-4e2e-9fc7-7e69e6f50ea3
初中（五•四学制）,教科外研社版,7,上册,1,1,033a4870-04a1-44ae-9046-653019cef3fb
初中（五•四学制）,教科外研社版,7,下册,1,1,90a6f7fb-4a70-4fb1-ac4b-5528ad4c5607
初中（五•四学制）,教科外研社版,8,上册,1,1,1bdbefe3-2fdb-68fe-fc4f-88bd8522733c
初中（五•四学制）,教科外研社版,9,全一册,1,1,ed902c9b-1f3a-9106-f610-a2a16e2cd73f
初中（五•四学制）,教科版,6,上册,1,1,3ccf9708-fbd0-48a0-931f-4f7cadacd504
初中（五•四学制）,教科版,6,下册,1,2,"3baf3343-a329-4a75-bace-cf012ff6d13e,99cfbf74-fae2-cbd7-a2fb-5939f99646d5"
初中（五•四学制）,教科版,7,上册,1,1,05ca4b0d-230a-42de-974a-0f33464b8301
初中（五•四学制）,教科版,7,下册,1,1,8a8de067-2f77-4e91-98e3-318239db470e
初中（五•四学制）,教科版,8,上册,1,1,9bfa9181-ca0d-4fa2-b185-e8951a5f05cf
初中（五•四学制）,教科版,8,下册,0,1,a5cd58b0-f965-44fa-8858-eacd8f15fe23
初中（五•四学制）,教科版,9,下册,0,1,6710272b-c226-4cbd-8e50-d9bb1a343961
初中（五•四学制）,教科版,9,全一册,1,1,31416fa3-c274-7511-934c-713ff79bb4c3
初中（五•四学制）,沪教版,6,上册,1,3,"ffaef417-5682-af96-b998-b125cb43f15e,30122fd0-1bb6-f966-79fe-fa47afedd842,060066ae-cd3b-d133-02c2-e34685671790"
初中（五•四学制）,沪教版,6,下册,1,2,"935fb9e6-a448-74ad-eb25-e7022ddfc6d5,ec3945f9-9e54-f3f1-471c-45d9675fa73b"
初中（五•四学制）,沪教版,7,上册,1,3,"91490de6-2a1d-308e-2950-e485446c69ef,4a7492f6-ef07-50bf-edaf-5bc2625e8b8d,9dafb61c-5293-2faf-f0a1-59e20b43eaed"
初中（五•四学制）,沪教版,7,下册,1,2,"13b0253e-5825-943b-007c-3110422ee884,5f72a1e5-6754-7c81-9759-b7f310b16263"
初中（五•四学制）,沪教版,8,上册,1,2,"fd2e54fb-f77b-3bce-c81a-0ff76d9debe7,dbfcba4a-fe4e-1693-0c18-cabaccfe81cb"
初中（五•四学制）,沪教版,8,下册,1,1,a5e66ba2-d435-9e52-1dc4-0034467293d2
初中（五•四学制）,沪教版,9,上册,1,1,1dcc5207-c993-09a4-09a8-079686747f38
初中（五•四学制）,鲁教版,6,上册,1,3,"f22855a6-876c-8865-1340-b06c17aef138,389692e9-3214-96ea-e311-d26d867677dd,22aeb099-00b3-d489-a905-007083a5470f"
初中（五•四学制）,鲁教版,6,下册,1,2,"713c659a-6ee5-4dc0-a6e4-4f92ce2503b5,7e2320b6-ca51-9980-0eea-a53d8c364a10"
初中（五•四学制）,鲁教版,7,上册,1,2,"14068cd3-4615-45db-9e21-ecdd28306a3b,04d6e76b-40c8-71f6-d94f-7070135e570c"
初中（五•四学制）,鲁教版,7,下册,1,1,3aa28c0b-c2df-4662-b474-055e5e2f7689
初中（五•四学制）,鲁教版,8,上册,1,1,68bbb81e-75e7-4fb4-a266-07607fc9a6a6
初中（五•四学制）,鲁教版,8,下册,0,1,4e9dbc63-e230-4aea-84e4-b8a295079303
初中（五•四学制）,鲁教版,9,全一册,1,1,830ebaf5-86d4-417d-b4f0-c17e757d733d
小学,人教大同版,3,上册,1,3,"f38f12ef-f856-54dc-0064-af0a6441a88b,85abe93c-f91e-0b0a-0afa-ebe2655e03a0,be006a8b-9219-af51-5af4-659a04a2baae"
小学,人教大同版,3,下册,1,2,"0b0a036f-c24f-3187-b9e8-e65f8b408770,4e8f8b48-72af-e009-9928-9ced0d6d97c3"
小学,人教大同版,4,上册,1,2,"9bd74663-47c1-e76b-6f95-d51732c8a78b,f710ce81-57a6-8573-3c5e-af468f7da718"
小学,人教大同版,4,下册,1,1,8c7c9b7f-6491-83a4-ce6e-5183fc23b379
小学,人教大同版,5,上册,1,1,7ed767b2-bca4-7550-5108-72c6e8a05285
小学,人教大同版,6,上册,1,1,05e7f636-ec84-f69e-2c40-dcfdfc8f4f9f
小学,人教版（主编：吴欣）,3,上册,1,3,"485d2118-1652-ea90-8da7-5b9eaeb71dc4,b3c7d0d5-d148-f4c3-ed2a-ebef1e651fe6,dd6173ba-579a-356e-900c-cb53e152229c"
小学,人教版（主编：吴欣）,3,下册,1,2,"10b11234-3b0a-4b3e-b4b4-db3013774529,9eb54ff2-1c7b-4441-abff-c44b714a2302"
小学,人教版（主编：吴欣）,4,上册,1,2,"02736c70-9509-438f-8e16-2902feaf5ed8,be6e00c8-0068-8453-927f-646f6f753a5a"
小学,人教版（主编：吴欣）,4,下册,1,1,18b54350-f833-4b5c-a1b9-ebbf02cf4545
小学,人教版（主编：吴欣）,5,上册,1,1,9f1cda77-2dc7-442b-82f1-97243f7ec39d
小学,人教版（主编：吴欣）,5,下册,0,1,c5180299-d288-46e2-a0df-9f04c94fd922
小学,人教版（主编：吴欣）,6,上册,1,1,9e2878bf-964d-47fb-85ba-937cf61159a5
小学,人教版（主编：吴欣）,6,下册,0,1,1417c7bc-52d9-4c4d-92fd-796a92a6d275
小学,人教版（主编：苗兴伟）,3,上册,1,3,"64ddeaff-657a-4662-808b-b9ef2707c899,21dab880-b5f0-b116-1996-9a9e36e4e398,ac983965-a1a1-3393-e994-85c4a5e317b7"
小学,人教版（主编：苗兴伟）,3,下册,1,2,"8f294c09-3fba-4ab3-8cf8-19b6c7d70775,3bf2b43c-b596-4be5-870d-6f6d811b726f"
小学,人教版（主编：苗兴伟）,4,上册,1,2,"4648aca1-ef0e-5790-c13d-66b5b4fc06b5,36d1fc6f-cda4-8ba5-6fb4-424b5381cd05"
小学,人教版（主编：苗兴伟）,4,下册,1,1,ea0ee632-314b-40a2-8a58-b745cbfa7960
小学,人教版（主编：苗兴伟）,5,上册,1,1,0d53b423-e9d3-63ae-9a22-0bce900d3b97
小学,人教版（主编：苗兴伟）,6,上册,1,1,1bdff68f-4558-272a-ef0c-bd2b9558f6a5
小学,冀教版,3,上册,1,2,"9ed80e1a-1fd3-d2e0-1867-d3944fc3f4b0,eb854fe4-52bf-b3ec-c12b-7825b6c61255"
小学,冀教版,3,下册,1,2,"33b0860c-a364-4c17-8ed6-47b5b95a7af3,02ba2e07-e12a-4db3-b1c4-827e20e86f84"
小学,冀教版,4,上册,1,2,"cf83ee9b-9efd-4c54-af1c-024a80381c91,6ecc6577-4e91-71c2-280d-08816ce911fd"
小学,冀教版,4,下册,1,1,ae984a15-7120-4277-8764-5cb94ef9c854
小学,冀教版,5,上册,1,1,6851aa62-4e83-4008-a8ea-c9d2c61bef9f
小学,冀教版,5,下册,0,1,d2c98c54-d546-4014-8139-7b90f992e839
小学,冀教版,6,上册,1,1,eb52c514-7835-407a-93b4-78bc2b0300e3
小学,冀教版,6,下册,0,1,2a9cfe68-84be-4ec0-9c54-61c328ad677c
小学,北京版,3,上册,1,3,"390a6cd9-fb09-74d9-f4d3-b137a45431c8,9a9d9088-481d-9ffa-6092-e9a75e59deeb,a32e4bcb-b71c-7ff1-7bfa-3ea94d02e821"
小学,北京版,3,下册,1,2,"5bd0a1a5-4465-48f7-ac81-825b4b941eea,5b9deb85-4480-4103-8ed8-8b013847d95a"
小学,北京版,4,上册,1,2,"007b33ae-8a3b-46a2-a0af-f87a81f58bcb,f0a47834-970c-3ed8-dc1a-e669e7389a21"
小学,北京版,4,下册,1,1,d81a9920-1ce0-4e99-9217-e68b1f9de9ec
小学,北京版,5,上册,1,2,"0303db18-107f-4695-abb5-e55521a88a77,32eb3cef-0891-797d-4db0-9d57e55ac2b1"
小学,北京版,5,下册,1,1,a6789af4-f728-4dab-85f2-1b50661ea8ea
小学,北京版,6,上册,1,1,899e51ef-9692-440a-bba8-a1aacdec0584
小学,北京版,6,下册,0,1,4f559402-173b-4e30-8dd9-34c180ef9409
小学,北师大版,3,上册,1,3,"463b7f17-3252-a215-f2b5-3ef2a98bc85d,6a39a134-3ddf-b8c8-4a03-236cfde8d555,90e397d2-df7b-e14d-d50a-f9728d36547d"
小学,北师大版,3,下册,1,2,"d580ae4f-d167-44ae-bd33-c842b3f0abf8,6f91cdd6-99b8-63fd-5c1a-7ac5a56be009"
小学,北师大版,4,上册,1,2,"ac9053fd-ac1e-4aad-ad21-90e69779ec69,20cad53d-664f-d980-2937-54b738d68870"
小学,北师大版,4,下册,1,1,6b109156-89f6-4e9d-8a73-e429f7987df5
小学,北师大版,5,上册,1,1,acc12d6c-7996-4a76-8d42-cb20b3749496
小学,北师大版,5,下册,0,1,414c33cd-2d9d-48bc-a25b-c705a1482730
小学,北师大版,6,上册,1,1,50ca9a33-30da-45b2-9a71-f969817b2974
小学,北师大版,6,下册,0,1,997f42d2-9de3-4c33-9eb0-d841ff277bac
小学,外研社版(主编：张祖春）,3,上册,1,2,"0ff655ac-5fdf-769d-71ac-ebd4ac1b2dd9,a77ccfa5-bd84-9ed2-05e1-21ca37b41443"
小学,外研社版(主编：张祖春）,3,下册,1,2,"1a2bb0a7-ec95-453e-8821-455dc7082f51,4a407446-9342-02c5-710f-4e23e0895377"
小学,外研社版(主编：张祖春）,4,上册,1,2,"f3c9d192-b4b9-d536-6731-d9c8c538c64d,351d40d6-6d10-bd6f-42a8-287da8119034"
小学,外研社版(主编：张祖春）,4,下册,1,1,d3bacb13-07ee-0fd8-0e38-fda3a9a6abca
小学,外研社版(主编：张祖春）,5,上册,1,1,3214d51b-9bd2-f6d2-c83b-1438b59596fb
小学,外研社版（主编：刘兆义）,3,上册,1,3,"142d5d5c-e3ea-2261-6134-b39199a4e6bc,6992d6f3-2f8f-7df1-bd5b-cd18e6a7a149,2147a86f-ff8b-dcdb-e1f7-386dd70e66bf"
小学,外研社版（主编：刘兆义）,3,下册,1,2,"4c34b03c-933c-4a67-b211-f5d79fb05001,908567fb-3ad3-c299-d075-6129c64f9aa9"
小学,外研社版（主编：刘兆义）,4,上册,1,2,"cf593196-d7db-8090-2b1a-116a356dfde6,9d2c353b-1c7f-150b-d59b-9b878d3e8638"
小学,外研社版（主编：刘兆义）,4,下册,1,1,9a553639-4521-4cce-aa9f-09281b1a653b
小学,外研社版（主编：刘兆义）,5,上册,1,1,17edec76-0f9d-451d-a131-8bdc41912684
小学,外研社版（主编：刘兆义）,5,下册,0,1,2d8172eb-6fda-4c76-bd93-8af135046d9a
小学,外研社版（主编：刘兆义）,6,上册,1,1,d8309204-6817-4c4f-9e23-6b410a5f55db
小学,外研社版（主编：刘兆义）,6,下册,0,1,aa01baf9-e504-49de-bb89-2d195c1ad391
小学,外研社版（主编：孙有中）,3,上册,1,3,"42a87e09-e53e-59ea-8740-a1302a194d16,e51639ec-78db-84cf-c1f5-100c3565cb85,edb32f67-1cf7-94d6-0626-e14dc08b377a"
小学,外研社版（主编：孙有中）,3,下册,1,2,"9b2c031b-fa86-26a5-65e0-247b5c44bc98,cf006d93-fbec-0d59-f36e-2253fd4bb09c"
小学,外研社版（主编：孙有中）,4,上册,1,2,"2bea95cf-46e6-40cc-ae87-07cc474b3956,6cead28f-ad08-dcec-eda1-6cbc71f157b9"
小学,外研社版（主编：孙有中）,4,下册,1,1,e7cf1b69-fa7b-19c5-6201-623f10c364b8
小学,外研社版（主编：孙有中）,5,上册,1,2,"01d7476f-7fbd-738c-3127-ad261b9cbe83,77c1748b-51a5-ba5d-8868-a2c7055678b5"
小学,外研社版（主编：孙有中）,5,下册,1,1,2e4a649a-af6f-0905-9693-5c5c93548622
小学,外研社版（主编：孙有中）,6,上册,1,1,a415cb61-eb1d-170b-b7d0-e810717bf6f8
小学,川教版,3,上册,1,3,"e46c60ee-2e73-ced1-6fe2-4676f662f86c,abe9d1de-2c6a-ee6b-d0ee-b6ea8247caa1,72c5aed6-a21b-1255-ab15-141fcfb7f4ec"
小学,川教版,3,下册,1,2,"268943ee-b215-41fb-9b89-d6c5ef1d6f44,a70bcbcd-12f9-3dd5-8616-9c387bb53f9e"
小学,川教版,4,上册,1,2,"12bbf0bc-9f5b-4bea-a102-83ed34dc2d68,2e28ff79-bb80-46a6-6d79-11a144df2d84"
小学,川教版,4,下册,1,1,96be5f08-1422-4c0e-8458-88bdbfb3c930
小学,川教版,5,上册,1,1,95598bab-ceae-4f59-9948-beefc0116e57
小学,川教版,5,下册,0,1,ac2f99d6-d609-4b5e-8a46-369898eaf0c4
小学,川教版,6,上册,1,1,89bb1762-9950-49c5-8d74-d499c27d2ff4
小学,川教版,6,下册,0,1,2be9aba6-81cf-4367-b85c-4dd385fcd58b
小学,接力社版,3,上册,1,1,b3f9fcf6-27bd-4779-8275-365d4842388a
小学,接力社版,3,下册,1,2,"9ae3ffb8-8e6f-4a7a-bef7-a59ba953168d,8096f798-4e9e-7d9e-2494-2aab025ce254"
小学,接力社版,4,上册,1,1,345de000-9398-4f0e-8076-8fc93068341e
小学,接力社版,4,下册,1,2,"6a850434-e0b2-405b-9abe-6d9f7b2503dc,005f2d22-4be8-7f2f-3507-a8f160885567"
小学,接力社版,5,上册,1,1,c195ff53-268c-492f-b10d-6b281cad112f
小学,接力社版,5,下册,0,1,3f675da4-c5c7-45dc-85d1-a181a411df52
小学,接力社版,6,上册,1,1,5a69664c-525c-49c1-8e65-23c3c7c5f6fc
小学,接力社版,6,下册,0,1,74d234e0-f633-4f6a-ac1d-82c29f3902ba
小学,教科版（主编：龚亚夫）,3,上册,1,3,"c6b9cff5-5e13-bcc2-00b5-394a624b3650,c376a427-6b9f-dd31-c352-e065cd754a10,835bebfe-6b17-b05a-5c97-23b115f3b1c8"
小学,教科版（主编：龚亚夫）,3,下册,1,2,"d07478ce-cc45-4867-bc21-067c03a79896,fe431b88-6bd5-6745-4a08-2e155bb60caa"
小学,教科版（主编：龚亚夫）,4,上册,1,2,"15fc1678-b77d-4c75-a647-928ea8cc06c5,318b43d8-f721-ca1b-2aad-17325edc9b41"
小学,教科版（主编：龚亚夫）,4,下册,1,1,9eb75cb9-46a3-4236-afd0-1a7e4de2ebab
小学,教科版（主编：龚亚夫）,5,上册,1,1,27eb5941-f566-431a-a2a6-92e45a2995e1
小学,教科版（主编：龚亚夫）,5,下册,0,1,285ae1ca-33f3-40b5-b9c8-c6fd8256168b
小学,教科版（主编：龚亚夫）,6,上册,1,1,02d7c475-79f8-49a8-aad1-2d7d880e159f
小学,教科版（主编：龚亚夫）,6,下册,0,1,27b8ff2b-75e6-4265-a3ab-d6cee85b939a
小学,沪教版,3,上册,1,3,"0b7d570b-33a2-3c5d-2cab-00c3ddb65e57,8894b571-bd8c-27a4-4390-cb74f7ddc81f,6ee46e5b-cba2-6fce-e824-afcc197a1788"
小学,沪教版,3,下册,1,2,"d523d9fc-abf2-48a3-94e6-6d9a25fae4af,132dd1f4-f988-43bb-ab9a-c3aad3c93420"
小学,沪教版,4,上册,1,2,"6c6edb6c-60ca-4c29-82df-a2357f087f60,bcbf979a-3027-d32b-4c71-44a063549cd8"
小学,沪教版,4,下册,1,1,0f2a0c94-50c1-4b7a-8211-8ff18da1d475
小学,沪教版,5,上册,1,1,e97bf778-237b-4c23-b71d-6f7b80078f66
小学,沪教版,5,下册,0,1,70085bc7-91aa-4726-9f92-8eed80d30276
小学,沪教版,6,上册,1,1,b25139ad-009e-4537-afe7-f393a5e43ef1
小学,沪教版,6,下册,0,1,63f19462-c7e5-43cb-a5db-756341614929
小学,清华大学版,3,上册,1,2,"1f7fdc68-ac36-a661-3492-aa418d98fef1,6b773562-c248-d10d-e564-4102d7adafca"
小学,清华大学版,3,下册,1,1,4540c302-13cc-4285-8b7d-2bea2641a836
小学,清华大学版,4,上册,1,1,e677e6d8-9120-4fcb-8bed-bd0f317d1a6d
小学,清华大学版,4,下册,1,1,4ed88cfe-0d65-4379-9cd2-84e0854e6c11
小学,清华大学版,5,上册,1,1,e1d92f0a-3eab-4403-a5c4-9c50b17e1cd7
小学,清华大学版,6,上册,1,1,0dd63a9b-06e7-48ea-ac29-a356178dd842
小学,湘少版,3,上册,1,2,"da37ef7f-504d-258a-bb68-6f0f64ec294b,25af4b37-896b-b56b-389b-e5b785122780"
小学,湘少版,3,下册,1,2,"33d80893-4975-43a2-b188-891d42a58697,db32f64d-4d65-393f-a3d9-911180426e9d"
小学,湘少版,4,上册,1,2,"047804b0-099d-404c-bb0d-3e03d22aac75,17f3f149-bea8-f2f3-ccf7-227feab4763e"
小学,湘少版,4,下册,1,1,4eefac06-5c2c-485b-8085-549df2c6c59d
小学,湘少版,5,上册,1,1,b5668abb-e4a2-4900-8a30-1b2f395bf70a
小学,湘少版,5,下册,0,1,853005d6-1a9a-43bb-92c3-9b551d932b66
小学,湘少版,6,上册,1,1,cdee1c54-de3d-4556-adc1-0671680f335a
小学,湘少版,6,下册,0,1,a9f600a7-71df-4a87-8b3b-b80d33b01179
小学,科普版,3,上册,1,3,"9a8b3735-6d74-48b6-d139-92c9b0efb382,5b9e5c85-cad3-5e2a-5884-2e154e45fe00,789e3345-a0cb-6089-45fb-b9de583ddf77"
小学,科普版,3,下册,1,2,"8765b6b9-6eec-4b5a-88e5-4d5aaefb5355,20ff0bbe-d00b-f588-9ce0-21db5939d570"
小学,科普版,4,上册,1,2,"8cbfef27-2a9f-47af-bd72-04979308a293,b65c7453-afa6-f810-bacb-5e6aaa2799eb"
小学,科普版,4,下册,1,1,7a5a93eb-8101-4b7f-8e7d-127fe58c06d5
小学,科普版,5,上册,1,1,ca569810-c755-4f11-bd55-887b95d64853
小学,科普版,5,下册,0,1,54e434c1-5efe-4997-b2b1-50d31902b792
小学,科普版,6,上册,1,1,6aef6c68-7f4a-43bf-bd37-6fc0aa153d32
小学,科普版,6,下册,0,1,2f3230fb-ba51-4b7a-a3c4-d830747bf384
小学,粤教沪外教版,3,上册,1,3,"16cad98e-09ab-6d02-2e90-c2e1aba83da8,165e5e24-7ba7-91db-5db7-35f126e1ef88,d3e7b9fb-b389-24a9-cbf1-6354d955195e"
小学,粤教沪外教版,3,下册,1,2,"77b17524-9682-4f9e-b1b1-6f15deea9649,69b32404-5891-6e16-5ef3-f7cfdd520e39"
小学,粤教沪外教版,4,上册,1,1,651695aa-4233-48b0-3f76-afa7cad33bdc
小学,粤教沪外教版,4,下册,1,1,8f8b9f7c-113b-646c-62a1-409474bbac88
小学,粤教沪外教版,5,上册,1,1,babb3b82-49d4-36af-ed48-593737d6aafa
小学,粤教沪外教版,6,上册,1,1,093366d6-afbc-acef-ad9b-985f8827f45e
小学,译林版,3,上册,1,3,"1206a3aa-1969-9e64-b354-e6eae4325ed4,aa2275a3-f969-c5fe-1c2c-d08b92223b67,8a798994-386e-8659-37a2-7aa4273da7a8"
小学,译林版,3,下册,1,2,"d87e8865-615a-4b3b-8d34-179b9fb33013,c1a23e1e-a239-1533-bf2f-18332a4f7355"
小学,译林版,4,上册,1,2,"a9ce6662-f5a5-4561-944a-c3dbcc5a8192,abc37910-8c35-7192-6a85-f17dbb13abd5"
小学,译林版,4,下册,1,1,a4fb0c8b-ebd6-4db9-bca0-705fca8126e4
小学,译林版,5,上册,1,1,06631d69-0865-4694-baf9-dccf22bff2fd
小学,译林版,5,下册,0,1,d3324da8-fe96-4a0d-9259-e60794e27491
小学,译林版,6,上册,1,1,32d2e60a-be5a-4c1c-92d6-8b99e00f6db3
小学,译林版,6,下册,0,1,2b63b996-3f8c-439a-bb0c-3f127c9507af
小学,辽宁师大版,3,上册,1,2,"543c961c-45ba-1129-3a01-54418c76f691,0b4281ed-ea46-4e2a-a873-a735bb40fec2"
小学,辽宁师大版,3,下册,1,2,"1bf2a59b-7b83-4314-b936-8c81d7ff384a,5748808c-2751-f91a-5124-b1182414449f"
小学,辽宁师大版,4,上册,1,1,da02c953-8471-4f98-9b3f-91547b6d8e30
小学,辽宁师大版,4,下册,1,1,f38040e1-709b-47a7-8335-074e9dbae8b5
小学,辽宁师大版,5,上册,1,1,e7d4c714-9497-494d-be03-8216faa58047
小学,辽宁师大版,5,下册,0,1,d48bd666-3fc5-496f-b858-95703c4551f8
小学,辽宁师大版,6,上册,1,1,8b146681-b0ed-4ae3-a485-f65f8aa46037
小学,辽宁师大版,6,下册,0,1,b9abc0ea-674f-4a98-b9b5-eb5aca6e9212
小学,重庆大学版,3,上册,1,1,12830537-3c8b-bc2a-822b-f915c0bfec60
小学,重庆大学版,3,下册,1,1,608a082c-7890-42b2-97ac-e9658c483487
小学,重庆大学版,4,上册,1,2,"10ef916f-7be0-4a8f-bc8f-8c0e8db7c75c,ddda2ab9-b524-2dad-5191-9b1ceb1fc6da"
小学,重庆大学版,4,下册,1,1,2eb33fc0-cdb3-4af5-882e-5be442705602
小学,重庆大学版,5,上册,1,1,1284d81b-3412-4378-a733-0816ea3847c7
小学,重庆大学版,5,下册,0,1,d3c56707-99a6-4a39-b7c9-71caac1df6c1
小学,重庆大学版,6,上册,1,1,9132e694-e555-4811-be20-f12e8988a408
小学,重庆大学版,6,下册,0,1,7c7234b9-73e0-456d-a2b0-3219c4ede9ab
小学,闽教版,3,上册,1,3,"acad2294-344a-d958-f7f4-e22917df04fa,98898ff4-2395-cffd-1e18-65bd94cfeb08,3f67a011-6bf5-3223-7e69-da8080d4acd1"
小学,闽教版,3,下册,1,2,"734487e6-3959-45c3-b03d-65dd80ec2292,e0574c1e-8df4-bc8e-7f77-ed160b407ad5"
小学,闽教版,4,上册,1,2,"03f15d9f-6ad1-4c83-a523-de5584b9ee77,6f504e72-3849-bd36-3e21-c9c853e3b977"
小学,闽教版,4,下册,1,1,83e1a7f0-a0bf-4663-9cb0-ca5de49a2409
小学,闽教版,5,上册,1,1,f27b9831-dcc0-49ed-be3b-622f67c63054
小学,闽教版,5,下册,0,1,48f56576-189c-485a-9f58-75470cd57cd9
小学,闽教版,6,上册,1,1,5c3e8e27-7815-4b0b-afba-03f3560d3c19
